,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26
Avg_Price,0.25839708374783044,0.47120902994545905,0.7519573177945043,0.016077060354452364,-0.11501674704102854,-0.008521196453699986,-0.0008124993062658081,0.055961826877678846,0.0057530020912299465,-0.021820365087433066,0.00944620076871077,0.07951521325230858,0.021206288421231925,0.030511934049781853,0.01869296261660167,-0.029074109589888736,-0.16761634162027234,-0.016559046453426412,-0.027288900293285935,-0.005670341881541913,-0.03432953312337914,-0.020934377351617333,-0.01749374572903214,0.00566590752387149,0.0015510976220035535,-0.0069211309713402
Coupon_Status_Not Used,0.0021292164830049995,0.007471914302859897,0.0020354916669224634,0.01744356573102889,0.002698454210003702,0.05510822469344195,-0.7987686020476212,-0.018507839990512687,-0.02930104230727532,-0.04678247888040133,-0.012814416362373527,-0.05046196456883516,-0.003295973728448438,-0.02304235701777373,0.030999610702647694,0.012880795764077241,-0.0068780386611019765,-0.0032294529904488283,0.028749513101876758,-0.026740834101784704,0.007919990694734931,0.009402265966459693,0.003554741088942346,-0.013804010327307525,-0.013214428808814438,-0.027217907172276384
Coupon_Status_Used,-0.001843197138145133,-0.01002391419235449,-0.005077309705278679,-0.00506410375303396,-0.004055961773779006,-0.05188834188567516,0.7994953838566811,0.025374406677823706,0.023569437001160296,0.04289208030177814,0.02559136277779832,0.040864528549841454,0.01392203113746149,0.023963370550073106,-0.021234263103187115,0.0029880058338590167,0.018370554478408692,0.018427379949677625,-0.0204457570944818,0.003302510361087179,-0.003842963853707141,0.0043707132677474865,0.008745750888457138,0.012146826914303724,0.001207120182832252,0.03650995317655296
CustomerID,-0.0942560531703544,0.07234814578169374,0.01955630596215937,0.05849902076609824,0.00284555977552053,-0.12288909094540701,0.013546241535617442,-0.12435130919046612,0.15499601664783277,-0.29120324740420017,-0.06775771129608191,-0.15694999639024712,0.14909373582117869,-0.11590842944713892,-0.1895183017517604,0.031260535851893555,0.06079696438780721,0.06871528371238174,-0.24162577979169936,0.04260948267497458,0.018240854345714257,0.07209048266212062,-0.02412957428439044,0.1203854635142138,-0.183331264860754,-0.059091811521728314
Delivery_Charges,-0.15304316673966817,-0.05781184991792663,-0.31960556248205624,0.048393526844837796,-0.41448512564683093,-0.0052126104785527065,-0.005454336685002523,0.051944227384116824,-0.08222773320735252,-0.04959816550231758,-0.009640801298822752,0.21012488733831963,-0.016814195756149,-0.019702987530929375,-0.07848636574161513,-0.04037596190114293,-0.22535653469338243,-0.030089544016219126,-0.08383675669837647,-0.024840534000185304,-0.005551750430978838,0.144016750926859,0.01677604554682745,-0.014294810232617758,-0.006216878322058313,0.02141937608584229
Discount_pct,0.2694822684582725,-0.06701346911978787,-0.024846550098876624,0.945571124937469,0.030875963995369526,-0.04680805263816542,0.005362898192936874,0.020051448023211904,-0.004682180497363477,0.018318747290051927,0.01492929028822426,-0.0008222733206933897,-0.0012416441855959864,-0.010595382744352611,-0.002349217741275289,0.012262815224506243,0.001224651641800973,-0.014804414894831077,0.011529763306787186,-0.004836991765642395,-9.081068654125529e-05,-0.01367853847091075,0.000535855314879756,-0.005644633403728306,-0.00193401051520362,-0.008502567095915866
Gender_M,-0.00667530945620775,-0.04373489506681317,0.05560098703531265,0.01608006988209727,-0.028353670851154512,0.06510537138803775,0.03281863301658272,0.005510070911140536,-0.3687097508351056,-0.24747890201314943,-0.16195345171548117,-0.17476520705268916,0.0737234298495489,0.10013778514172417,-0.05930181667327827,0.08257257051341549,-0.04955977996708538,0.029024795825785092,-0.2001312650810749,0.026706748077467007,0.04489777124457358,-0.11860616663313459,0.10123978716675872,-0.18905943094025093,0.05784095546334566,0.13143504765329964
Location_Chicago,0.012030637324192553,0.0071206797771241085,-0.023257292870793065,0.0779114756526091,-0.07700464646991402,0.822510582397811,0.05057396404107589,0.11409134794196324,0.2886380805604741,-0.10798479638011228,0.027349932512148813,-0.08889075279450116,-0.054648135207612976,0.016569258853048854,0.1071672424002235,0.09479550813321252,0.0012856487163585882,0.04475388286680469,-0.005876514578065568,-0.02067681762044689,-0.03267094257707898,0.044506854166198276,0.012690016066174321,0.022542974851891717,-0.019703397437087565,0.003424230924656031
Location_New Jersey,0.023096348952479962,-0.02425674376982527,0.021437572668099994,0.004468736811721597,0.04097538218690504,-0.14799511262614942,-0.057727133316623984,-0.2971165225100785,-0.16444261204650887,0.6208854670683307,0.028096664315067094,0.21370193124615736,0.07830981389814591,0.23229090373356587,0.010237470598727916,-0.3890324581774101,0.018894832863055103,-0.11797514972635775,-0.021603030691793028,-0.057440861631496525,0.09922264611274044,-0.04817559841447979,0.042078693567795186,-0.011438473119324584,-0.025074369424507238,-0.019113749258213852
Location_New York,-0.010676066788547316,-0.0519617445816897,0.02184950086656099,-0.06881852015851112,0.052484817386188876,-0.7494183028493122,-0.029182620669453402,0.20958487643497628,0.14017603548641286,-0.24277005604657387,0.13423199155149715,-0.03439240583211084,-0.023029556890421733,-0.19559991939915808,0.0669589380371986,0.11596466581149575,-0.039363460342509246,0.03621008382271029,0.15493513517109173,0.05669236799114422,-0.07169653470319366,0.10543258832171187,-0.009938326103795764,0.017507961038182154,0.037121181707944644,0.0069981035366772784
